gizmotronics	gizmotronics+N;SG
greekish	greekish+ADJ
scrunching	scrunch+V;V.PTCP;PRS
ribbands	ribband+N;PL
khanaqahs	khanaqah+N;PL
iceman	iceman+N;SG
supraoligomeric	supraoligomeric+ADJ
knaues	knaue+N;PL
judgings	judging+N;PL
ciceritol	ciceritol+N;SG
ezcurrite	ezcurrite+N;SG
dpch	dpch+N;SG
supercondensation	supercondensation+N;SG
affianced	affiance+V;PST
transesterase	transesterase+N;SG
anhydroglucoses	anhydroglucose+N;PL
desirudin	desirudin+N;SG
desomatization	desomatization+N;SG
nonstrangulated	nonstrangulated+ADJ
steelware	steelware+N;SG
ear-wax	ear-wax+N;SG
globalising	globalise+V;V.PTCP;PRS
counterthought	counterthought+N;SG
keurboom	keurboom+N;SG
montmorillonitic	montmorillonitic+ADJ
post-production	post-production+N;SG
nulliparity	nulliparity+N;SG
tyrannosaurian	tyrannosaurian+ADJ
uppropped	upprop+V;PST
bunks	bunk+N;PL
unconquerability	unconquerability+N;SG
jitterbug	jitterbug+V;NFIN;IMP+SBJV
atrogenes	atrogene+N;PL
neoschizomer	neoschizomer+N;SG
mispleads	misplead+V;PRS;3;SG
rhabdosarcoma	rhabdosarcoma+N;SG
unequipped	unequipped+ADJ
squizzle	squizzle+N;SG
dropkicked	dropkick+V;V.PTCP;PST
yuhinas	yuhina+N;PL
herringboning	herringbone+V;V.PTCP;PRS
flockfuls	flockful+N;PL
laserguns	lasergun+N;PL
popiah	popiah+N;SG
hippomorph	hippomorph+N;SG
microgametogenesis	microgametogenesis+N;SG
stammered	stammer+V;PST
chloropleth	chloropleth+N;SG
boroughwide	boroughwide+ADJ
sicc	sicc+ADJ
feature-length	feature-length+ADJ
cynophobes	cynophobe+N;PL
frambesia	frambesia+N;SG
antitubulins	antitubulin+N;PL
heliconiaceous	heliconiaceous+ADJ
coves	cove+V;PRS;3;SG
slackerly	slackerly+ADJ
subglottal	subglottal+ADJ
q-switch	q-switch+V;NFIN;IMP+SBJV
abattages	abattage+N;PL
aknows	aknow+V;PRS;3;SG
strepitant	strepitant+ADJ
endopeptidyl	endopeptidyl+ADJ
hippiaters	hippiater+N;PL
teasel	teasel+V;NFIN;IMP+SBJV
usufructs	usufruct+V;PRS;3;SG
cassingle	cassingle+N;SG
infelicity	infelicity+N;SG
platyrhacidan	platyrhacidan+N;SG
scorchings	scorching+N;PL
soulbonds	soulbond+N;PL
biochanin	biochanin+N;SG
paycocks	paycock+N;PL
radiosurgical	radiosurgical+ADJ
skullfuck	skullfuck+V;NFIN;IMP+SBJV
rhapsodized	rhapsodize+V;V.PTCP;PST
réseau	réseau+N;SG
petrosilexes	petrosilex+N;PL
nonfatty	nonfatty+ADJ
firebares	firebare+N;PL
strakes	strake+N;PL
mucro	mucro+N;SG
maxisingle	maxisingle+N;SG
fetologist	fetologist+N;SG
postencephalitic	postencephalitic+ADJ
countermajoritarians	countermajoritarian+N;PL
goelands	goeland+N;PL
comitatus	comitatus+N;SG
portcluse	portcluse+N;SG
enhalsing	enhalse+V;V.PTCP;PRS
beastly	beastly+ADJ
enfacing	enface+V;V.PTCP;PRS
wolfpack	wolfpack+N;SG
nephrocystostomies	nephrocystostomy+N;PL
objectizing	objectize+V;V.PTCP;PRS
buergerite	buergerite+N;SG
simits	simit+N;PL
muflons	muflon+N;PL
incapables	incapable+N;PL
lepper	lepper+N;SG
disinsertions	disinsertion+N;PL
habitans	habitan+N;PL
vedism	vedism+N;SG
mangled	mangled+ADJ
cytodifferentiated	cytodifferentiate+V;PST
dumb as a bag of hammers	dumb as a bag of hammers+ADJ
polyoxybenzylmethyleneglycolanhydride	polyoxybenzylmethyleneglycolanhydride+N;SG
aftersaw	aftersee+V;PST
downscalable	downscalable+ADJ
flechette	flechette+N;SG
cavus	cavus+N;SG
apothecary	apothecary+N;SG
revitalise	revitalise+V;NFIN;IMP+SBJV
karyotypes	karyotype+N;PL
clems	clem+N;PL
outbring	outbring+V;NFIN;IMP+SBJV
delightous	delightous+ADJ
browman	browman+N;SG
tylomyine	tylomyine+N;SG
nesomyine	nesomyine+N;SG
cantinières	cantinière+N;PL
samizdat	samizdat+N;SG
in posse	in posse+ADJ
scut	scut+N;SG
tszuj	tszuj+V;NFIN;IMP+SBJV
palaeothermometry	palaeothermometry+N;SG
grindle	grindle+N;SG
fatalist	fatalist+N;SG
ablets	ablet+N;PL
kehua	kehua+N;SG
peeling	peeling+N;SG
myrioramas	myriorama+N;PL
methexis	methexis+N;SG
broadsides	broadside+N;PL
legitimators	legitimator+N;PL
magnificate	magnificate+V;NFIN;IMP+SBJV
crookback	crookback+N;SG
incoercibility	incoercibility+N;SG
unresumable	unresumable+ADJ
undazzling	undazzling+ADJ
befuddled	befuddle+V;PST
prochein	prochein+ADJ
gaffed	gaff+V;V.PTCP;PST
faultlessness	faultlessness+N;SG
sprained	sprain+V;V.PTCP;PST
haemozoin	haemozoin+N;SG
infuriate	infuriate+V;NFIN;IMP+SBJV
exocytosed	exocytose+V;PST
tropic	tropic+ADJ
provincehood	provincehood+N;SG
gulose	gulose+N;SG
intrasubject	intrasubject+ADJ
miswire	miswire+V;NFIN;IMP+SBJV
crossandras	crossandra+N;PL
magnetothermodynamics	magnetothermodynamics+N;SG
afflictings	afflicting+N;PL
zwiebelane	zwiebelane+N;SG
afternotes	afternote+N;PL
greats	great+N;PL
mystic	mystic+ADJ
arabinosyl	arabinosyl+N;SG
palpebrate	palpebrate+ADJ
myddest	myddest+N;SG
caputoan	caputoan+ADJ
flisky	flisky+ADJ
outboarder	outboarder+N;SG
antipathised	antipathise+V;V.PTCP;PST
versification	versification+N;SG
rethinker	rethinker+N;SG
clothyards	clothyard+N;PL
filiferous	filiferous+ADJ
hypermeters	hypermeter+N;PL
enterocytic	enterocytic+ADJ
disaffectation	disaffectation+N;SG
recessionist	recessionist+ADJ
hemivoltine	hemivoltine+ADJ
pistolgraph	pistolgraph+N;SG
eutomers	eutomer+N;PL
townhome	townhome+N;SG
remachined	remachine+V;PST
scarfies	scarfie+N;PL
altimetry	altimetry+N;SG
oniscidean	oniscidean+N;SG
debouche	debouche+V;NFIN;IMP+SBJV
gammachirp	gammachirp+N;SG
furanic	furanic+ADJ
peents	peent+N;PL
stumpies	stumpy+N;PL
beemothers	beemother+N;PL
sulfadimethoxines	sulfadimethoxine+N;PL
nasorostrals	nasorostral+N;PL
spotting	spot+V;V.PTCP;PRS
prepopulating	prepopulate+V;V.PTCP;PRS
cladonychiids	cladonychiid+N;PL
overprices	overprice+V;PRS;3;SG
menuetto	menuetto+N;SG
caniphobia	caniphobia+N;SG
camerates	camerate+V;PRS;3;SG
sulpharsenates	sulpharsenate+N;PL
anisochromasia	anisochromasia+N;SG
underreact	underreact+V;NFIN;IMP+SBJV
coconstruct	coconstruct+V;NFIN;IMP+SBJV
annoyers	annoyer+N;PL
ultrashortwave	ultrashortwave+ADJ
promulged	promulge+V;PST
landholder	landholder+N;SG
pedoliths	pedolith+N;PL
malefactory	malefactory+ADJ
rearchive	rearchive+V;NFIN;IMP+SBJV
pow-wow	pow-wow+V;NFIN;IMP+SBJV
humint	humint+N;SG
pyrophosphorolysis	pyrophosphorolysis+N;SG
vka	vka+N;SG
squarrulose	squarrulose+ADJ
fibroblastoma	fibroblastoma+N;SG
countable	raff+N;PL
transformative	transformative+ADJ
berezanskite	berezanskite+N;SG
extensile	extensile+ADJ
preconcentrates	preconcentrate+V;PRS;3;SG
underplay	underplay+N;SG
phthalocyanins	phthalocyanin+N;PL
unsmokeable	unsmokeable+ADJ
idiotized	idiotize+V;V.PTCP;PST
trilophosaurids	trilophosaurid+N;PL
heterochromatization	heterochromatization+N;SG
multiwindow	multiwindow+ADJ
scrape-penny	scrape-penny+N;SG
silverbelly	silverbelly+N;SG
soaraway	soaraway+ADJ
madid	madid+ADJ
anticipate	anticipate+V;NFIN;IMP+SBJV
nitrosative	nitrosative+ADJ
justing	just+V;V.PTCP;PRS
gridled	gridle+V;V.PTCP;PST
adcc	adcc+N;SG
mediastinic	mediastinic+ADJ
indiscipline	indiscipline+N;SG
ditheists	ditheist+N;PL
classicality	classicality+N;SG
sialorrhœa	sialorrhœa+N;SG
superstable	superstable+ADJ
rills	rill+V;PRS;3;SG
nonsocialized	nonsocialized+ADJ
beamform	beamform+N;SG
thaws	thaw+N;PL
commons	common+N;PL
squarates	squarate+N;PL
orthopoxes	orthopox+N;PL
fruitbats	fruitbat+N;PL
compatibilized	compatibilized+ADJ
glugger	glugger+N;SG
gassho	gassho+N;SG
albuminous	albuminous+ADJ
calcigenous	calcigenous+ADJ
unshaded	unshade+V;PST
fluoroalkyl	fluoroalkyl+N;SG
affector	affector+N;SG
latiumite	latiumite+N;SG
choplogic	choplogic+ADJ
nanopyramids	nanopyramid+N;PL
disallied	disally+V;PST
enslavedness	enslavedness+N;SG
relipidated	relipidate+V;PST
dinges	dinge+N;PL
hemusite	hemusite+N;SG
subsolidus	subsolidus+ADJ
pseudosurface	pseudosurface+N;SG
coferments	coferment+N;PL
jus	jus+N;SG
decaudate	decaudate+V;NFIN;IMP+SBJV
gemellological	gemellological+ADJ
collored	collor+V;V.PTCP;PST
hydroentangled	hydroentangle+V;PST
cogen	cogen+N;SG
caucuses	caucus+V;PRS;3;SG
uncastling	uncastle+V;V.PTCP;PRS
wormed	wormed+ADJ
mullahing	mullah+V;V.PTCP;PRS
bips	bip+V;PRS;3;SG
decavanadates	decavanadate+N;PL
aliphatic	aliphatic+N;SG
deanesmithite	deanesmithite+N;SG
doodies	doody+V;PRS;3;SG
conquires	conquire+V;PRS;3;SG
oilcanning	oilcanning+N;SG
contemporality	contemporality+N;SG
reëdit	reëdit+V;NFIN;IMP+SBJV
crannying	cranny+V;V.PTCP;PRS
hornists	hornist+N;PL
testability	testability+N;SG
converging	converging+N;SG
oxazaphospholidine	oxazaphospholidine+N;SG
minifilms	minifilm+N;PL
nonsignaling	nonsignaling+ADJ
viziometrics	viziometrics+N;SG
gong	gong+N;SG
adiposogenital	adiposogenital+ADJ
retrudes	retrude+V;PRS;3;SG
burly	burly+ADJ
transferrors	transferror+N;PL
fair-goer	fair-goer+N;SG
religionised	religionise+V;PST
underholed	underhole+V;PST
upsize	upsize+V;NFIN;IMP+SBJV
apprizings	apprizing+N;PL
myoballs	myoball+N;PL
zoogamy	zoogamy+N;SG
spongionecrosis	spongionecrosis+N;SG
psilanthropism	psilanthropism+N;SG
overnitrated	overnitrated+ADJ
horse-hung	horse-hung+ADJ
bewonder	bewonder+V;NFIN;IMP+SBJV
gravedo	gravedo+N;SG
won	win+V;V.PTCP;PST
slumping	slumping+N;SG
pseudomacedonism	pseudomacedonism+N;SG
double-whammy	double-whammy+N;SG
prodigalised	prodigalise+V;PST
carnosinase	carnosinase+N;SG
unlike	unlike+V;NFIN;IMP+SBJV
burstwort	burstwort+N;SG
immunoenzymometric	immunoenzymometric+ADJ
tillodont	tillodont+N;SG
balangeroite	balangeroite+N;SG
arecid	arecid+N;SG
kludged	kludge+V;V.PTCP;PST
cryochrept	cryochrept+N;SG
spurriers	spurrier+N;PL
chromogens	chromogen+N;PL
mismarried	mismarry+V;V.PTCP;PST
mart	mart+V;NFIN;IMP+SBJV
pretriggered	pretriggered+ADJ
yearfuls	yearful+N;PL
tyebble	tyebble+N;SG
stagnative	stagnative+ADJ
conocurvone	conocurvone+N;SG
assbreath	assbreath+N;SG
megastome	megastome+N;SG
budgerow	budgerow+N;SG
sulfonimines	sulfonimine+N;PL
bywork	bywork+N;SG
gibeonite	gibeonite+N;SG
bescrape	bescrape+V;NFIN;IMP+SBJV
rejolting	rejolt+V;V.PTCP;PRS
saprophagans	saprophagan+N;PL
insnarer	insnarer+N;SG
rambunction	rambunction+N;SG
speeched	speech+V;PST
cuprophyte	cuprophyte+N;SG
autobiographer	autobiographer+N;SG
kati	kati+N;SG
poblanos	poblano+N;PL
barracked	barrack+V;PST
alveolarised	alveolarise+V;PST
mol	mol+N;SG
moab	moab+N;SG
aliquots	aliquot+V;PRS;3;SG
envenomates	envenomate+V;PRS;3;SG
harrowed	harrow+V;V.PTCP;PST
enlisters	enlister+N;PL
nontangibles	nontangible+N;PL
madrasi	madrasi+N;SG
terrorize	terrorize+V;NFIN;IMP+SBJV
ancome	ancome+N;SG
kris	kris+N;SG
noneroded	noneroded+ADJ
chengyu	chengyu+N;SG
scargillian	scargillian+ADJ
e-consultancy	e-consultancy+N;SG
underchallenge	underchallenge+V;NFIN;IMP+SBJV
pikeminnow	pikeminnow+N;SG
dataspeak	dataspeak+N;SG
periodicalists	periodicalist+N;PL
oilpressers	oilpresser+N;PL
essoiners	essoiner+N;PL
biofungicides	biofungicide+N;PL
armature	armature+N;SG
shmutzy	shmutzy+ADJ
unriddling	unriddling+N;SG
featly	featly+ADJ
twirler	twirler+N;SG
teleconsultant	teleconsultant+N;SG
caps	caps+N;SG
sinentomids	sinentomid+N;PL
diminutivize	diminutivize+V;NFIN;IMP+SBJV
stanine	stanine+N;SG
cathect	cathect+V;NFIN;IMP+SBJV
cameralistic	cameralistic+ADJ
promptitude	promptitude+N;SG
fullsib	fullsib+N;SG
batdom	batdom+N;SG
taskforce	taskforce+N;SG
microwatt	microwatt+N;SG
mc	mc+N;SG
grotched	grotch+V;PST
upchuck	upchuck+N;SG
nenuphars	nenuphar+N;PL
lionitis	lionitis+N;SG
postretirees	postretiree+N;PL
racemule	racemule+N;SG
actualiser	actualiser+N;SG
graphesthesia	graphesthesia+N;SG
antisymmetrized	antisymmetrized+ADJ
dictational	dictational+ADJ
sfiha	sfiha+N;SG
chlorinate	chlorinate+V;NFIN;IMP+SBJV
dugites	dugite+N;PL
labialise	labialise+V;NFIN;IMP+SBJV
preon	preon+N;SG
nitroxoline	nitroxoline+N;SG
pipfruit	pipfruit+N;SG
misrecollect	misrecollect+V;NFIN;IMP+SBJV
sunseekers	sunseeker+N;PL
stœchiometric	stœchiometric+ADJ
taurocholate	taurocholate+N;SG
ahoy	ahoy+V;NFIN;IMP+SBJV
nucleoporator	nucleoporator+N;SG
vortexers	vortexer+N;PL
blear	blear+ADJ
cheftender	cheftender+N;SG
desophisticated	desophisticate+V;PST
sessile	sessile+ADJ
proconvulsant	proconvulsant+ADJ
sheetfed	sheetfed+ADJ
spiculated	spiculate+V;V.PTCP;PST
hallions	hallion+N;PL
perciform	perciform+N;SG
neostructuralists	neostructuralist+N;PL
nipoglycoside	nipoglycoside+N;SG
pleck	pleck+N;SG
radiolabeling	radiolabel+V;V.PTCP;PRS
scherbet	scherbet+N;SG
spelds	speld+N;PL
climaxed	climax+V;PST
1080	1080+N;SG
non-operational	non-operational+ADJ
metamorphosing	metamorphose+V;V.PTCP;PRS
intrabronchiolar	intrabronchiolar+ADJ
alkylated	alkylate+V;PST
arêtes	arête+N;PL
hysteromaniacs	hysteromaniac+N;PL
conelet	conelet+N;SG
kibbitzers	kibbitzer+N;PL
overpraised	overpraise+V;V.PTCP;PST
aak	aak+N;SG
pharmacosiderite	pharmacosiderite+N;SG
superposing	superpose+V;V.PTCP;PRS
yaodongs	yaodong+N;PL
bicapitated	bicapitate+V;V.PTCP;PST
nonurban	nonurban+ADJ
hexaferrum	hexaferrum+N;SG
methylammonium	methylammonium+N;SG
topologicality	topologicality+N;SG
leonian	leonian+ADJ
qutrit	qutrit+N;SG
emphysema	emphysema+N;SG
coumestan	coumestan+N;SG
anthroposociology	anthroposociology+N;SG
saturnine	saturnine+ADJ
arrived	arrive+V;V.PTCP;PST
chippers	chipper+V;PRS;3;SG
lines	line+V;PRS;3;SG
lyophile	lyophile+ADJ
overactiveness	overactiveness+N;SG
deterritorializing	deterritorialize+V;V.PTCP;PRS
glamoury	glamoury+N;SG
comport	comport+V;NFIN;IMP+SBJV
slut-maker	slut-maker+N;SG
nakedizing	nakedize+V;V.PTCP;PRS
unsaid	unsay+V;PST
hibernates	hibernate+V;PRS;3;SG
soc.	soc.+ADJ
whifferdills	whifferdill+N;PL
propyls	propyl+N;PL
antiperiodics	antiperiodic+N;PL
admoved	admove+V;V.PTCP;PST
kgb	kgb+N;SG
confabulists	confabulist+N;PL
foxtresses	foxtress+N;PL
shrublike	shrublike+ADJ
cybersuckers	cybersucker+N;PL
piemontite	piemontite+N;SG
ceftiofur	ceftiofur+N;SG
philosopheme	philosopheme+N;SG
hydrocode	hydrocode+N;SG
travellable	travellable+ADJ
playdate	playdate+N;SG
erythromegakaryocytes	erythromegakaryocyte+N;PL
perikaryal	perikaryal+ADJ
masters	master+V;PRS;3;SG
snowcones	snowcone+N;PL
excipientations	excipientation+N;PL
trifle	trifle+N;SG
cinemaic	cinemaic+ADJ
idx	idx+N;SG
echoendoscopy	echoendoscopy+N;SG
finno-ugricist	finno-ugricist+N;SG
multibuyer	multibuyer+N;SG
oceloid	oceloid+ADJ
bolixing	bolix+V;V.PTCP;PRS
multiplies	multiply+V;PRS;3;SG
quinonoids	quinonoid+N;PL
gorkier	gorky+ADJ;CMPR
antiquated	antiquate+V;PST
ultrarare	ultrarare+ADJ
gowling	gowl+V;V.PTCP;PRS
un-rock and roll	un-rock and roll+ADJ
attritees	attritee+N;PL
singeress	singeress+N;SG
pesto	pesto+N;SG
leakproof	leakproof+ADJ
parasocial	parasocial+ADJ
coptology	coptology+N;SG
urethan	urethan+N;SG
haliotoid	haliotoid+ADJ
solosexuals	solosexual+N;PL
perusable	perusable+ADJ
deplored	deplore+V;V.PTCP;PST
mousepress	mousepress+N;SG
astroids	astroid+N;PL
upsampler	upsampler+N;SG
forfare	forfare+V;NFIN;IMP+SBJV
proclames	proclame+V;PRS;3;SG
serranoids	serranoid+N;PL
underirrigated	underirrigate+V;V.PTCP;PST
uncountable	hea'+N;PL
marcaine	marcaine+N;SG
ghod	ghod+N;SG
nervose	nervose+ADJ
throttleholds	throttlehold+N;PL
copanlisib	copanlisib+N;SG
circumduced	circumduce+V;V.PTCP;PST
quickdraw	quickdraw+N;SG
pneumotaxic	pneumotaxic+ADJ
keelhaul	keelhaul+V;NFIN;IMP+SBJV
microaerophilous	microaerophilous+ADJ
disparate	disparate+ADJ
ex-slave	ex-slave+N;SG
undertranslating	undertranslate+V;V.PTCP;PRS
outset	outset+V;V.PTCP;PST
runabouts	runabout+N;PL
coaly	coaly+ADJ
muckland	muckland+N;SG
abstract	abstract+V;NFIN;IMP+SBJV
counterspell	counterspell+V;NFIN;IMP+SBJV
lapp	lapp+ADJ
babywore	babywear+V;PST
quirkier	quirky+ADJ;CMPR
2,4-d	2,4-d+N;SG
hierographers	hierographer+N;PL
microimmunofluorescence	microimmunofluorescence+N;SG
anomocytic	anomocytic+ADJ
pash	pash+V;NFIN;IMP+SBJV
diffusedness	diffusedness+N;SG
aëtheogams	aëtheogam+N;PL
panelvan	panelvan+N;SG
waving	wave+V;V.PTCP;PRS
disproved	disprove+V;PST
afro-argentine	afro-argentine+ADJ
leks	lek+V;PRS;3;SG
zoonotic	zoonotic+ADJ
remittable	remittable+ADJ
defensors	defensor+N;PL
diehard	diehard+N;SG
bacteriograph	bacteriograph+N;SG
dysmorphogenesis	dysmorphogenesis+N;SG
warchief	warchief+N;SG
quick-handedness	quick-handedness+N;SG
ciphering	cipher+V;V.PTCP;PRS
waldflute	waldflute+N;SG
scallywag	scallywag+N;SG
unoccluded	unoccluded+ADJ
enantiodromias	enantiodromia+N;PL
wobblesome	wobblesome+ADJ
slipform	slipform+V;NFIN;IMP+SBJV
jawing	jaw+V;V.PTCP;PRS
macrocellular	macrocellular+ADJ
natty	natty+ADJ
cliquiest	cliquey+ADJ;SPRL
skite	skite+V;NFIN;IMP+SBJV
eavesdropping	eavesdrop+V;V.PTCP;PRS
hyperlinks	hyperlink+N;PL
xiao	xiao+N;SG
lightweights	lightweight+N;PL
quadrille	quadrille+V;NFIN;IMP+SBJV
systemized	systemize+V;PST
roseworms	roseworm+N;PL
overprocessed	overprocess+V;V.PTCP;PST
acetoside	acetoside+N;SG
vitiosity	vitiosity+N;SG
fissidentaceous	fissidentaceous+ADJ
crewel	crewel+N;SG
exo-isomer	exo-isomer+N;SG
scur	scur+V;NFIN;IMP+SBJV
subsethood	subsethood+N;SG
test-fire	test-fire+V;NFIN;IMP+SBJV
popperian	popperian+ADJ
chemotherapeutants	chemotherapeutant+N;PL
rousters	rouster+N;PL
hopples	hopple+V;PRS;3;SG
zizzles	zizzle+V;PRS;3;SG
foreignizing	foreignize+V;V.PTCP;PRS
tchetverik	tchetverik+N;SG
asspussy	asspussy+N;SG
multimarket	multimarket+ADJ
werowances	werowance+N;PL
chayres	chayre+N;PL
nonstacked	nonstacked+ADJ
panpsychist	panpsychist+N;SG
apdu	apdu+N;SG
misbreathing	misbreathe+V;V.PTCP;PRS
comatrix	comatrix+N;SG
swbw	swbw+N;SG
shamans	shaman+N;PL
untaxed	untax+V;V.PTCP;PST
gyneconomes	gyneconome+N;PL
cecotrope	cecotrope+N;SG
misconnote	misconnote+V;NFIN;IMP+SBJV
conflated	conflate+V;PST
namierises	namierise+V;PRS;3;SG
eyeleteer	eyeleteer+N;SG
electrions	electrion+N;PL
sheepshearer	sheepshearer+N;SG
étincellé	étincellé+ADJ
chequines	chequine+N;PL
d	d+N;SG
nonhaematopoietic	nonhaematopoietic+ADJ
sooty	sooty+V;NFIN;IMP+SBJV
lingualis	lingualis+N;SG
multimethods	multimethod+N;PL
propenultimate	propenultimate+ADJ
aposymbionts	aposymbiont+N;PL
holmesian	holmesian+N;SG
alkaloidiferous	alkaloidiferous+ADJ
unsuccessfulness	unsuccessfulness+N;SG
articulates	articulate+N;PL
back-to-back-to-back	back-to-back-to-back+ADJ
weird	weird+N;SG
antibattery	antibattery+ADJ
syndics	syndic+N;PL
cred	cred+N;SG
jigheads	jighead+N;PL
discapacitated	discapacitate+V;PST
multimeson	multimeson+ADJ
antisexual	antisexual+ADJ
dalals	dalal+N;PL
muggins	muggins+N;SG
chlorobutyl	chlorobutyl+N;SG
abkhasian	abkhasian+ADJ
cd46	cd46+N;SG
porno	porno+N;SG
destandardizes	destandardize+V;PRS;3;SG
trimetrical	trimetrical+ADJ
alternifoliate	alternifoliate+ADJ
broskies	broskie+N;PL
countable	redout+N;PL
ethnoprimatological	ethnoprimatological+ADJ
relegation	relegation+N;SG
reëmbraces	reëmbrace+V;PRS;3;SG
gleyed	gley+V;V.PTCP;PST
melanomagenesis	melanomagenesis+N;SG
screenprinted	screenprint+V;PST
prancercise	prancercise+N;SG
motherlands	motherland+N;PL
tuzz	tuzz+N;SG
wheal	wheal+N;SG
reaming	ream+V;V.PTCP;PRS
cryptobenthic	cryptobenthic+ADJ
distrainer	distrainer+N;SG
smirking	smirking+N;SG
zoe	zoe+N;SG
nowaday	nowaday+N;SG
downtrends	downtrend+V;PRS;3;SG
junket	junket+V;NFIN;IMP+SBJV
noncomparability	noncomparability+N;SG
anycast	anycast+N;SG
bespelled	bespelled+ADJ
iodosilanes	iodosilane+N;PL
sloper	sloper+N;SG
scawtite	scawtite+N;SG
booleanised	booleanise+V;PST
injunctional	injunctional+ADJ
optionaires	optionaire+N;PL
saltpan	saltpan+N;SG
airbeds	airbed+N;PL
rungheads	runghead+N;PL
relaxivity	relaxivity+N;SG
pied-piping	pied-piping+N;SG
harmonious	harmonious+ADJ
nfv	nfv+N;SG
twizzler	twizzler+N;SG
coyoteite	coyoteite+N;SG
worrisome	worrisome+ADJ
hermaphroditic	hermaphroditic+ADJ
catfished	catfish+V;V.PTCP;PST
trophospecies	trophospecies+N;SG
la-la-land	la-la-land+N;SG
literalise	literalise+V;NFIN;IMP+SBJV
b.p.a.i.	b.p.a.i.+N;SG
antisoliton	antisoliton+N;SG
overgeneralized	overgeneralize+V;V.PTCP;PST
hmongness	hmongness+N;SG
viewship	viewship+N;SG
ranchers	rancher+N;PL
quartering	quartering+N;SG
mutinousness	mutinousness+N;SG
boride	boride+N;SG
sulfosalts	sulfosalt+N;PL
manitoban	manitoban+N;SG
discoured	discoure+V;V.PTCP;PST
polyacrons	polyacron+N;PL
bulboid	bulboid+ADJ
georectified	georectify+V;V.PTCP;PST
neurosemantics	neurosemantics+N;SG
substantifying	substantify+V;V.PTCP;PRS
quaternarizations	quaternarization+N;PL
allectives	allective+N;PL
mountenaunce	mountenaunce+N;SG
antihysterical	antihysterical+ADJ
counterstate	counterstate+N;SG
chemosterilized	chemosterilize+V;V.PTCP;PST
mixokinetal	mixokinetal+ADJ
coauthor	coauthor+N;SG
navarch	navarch+N;SG
bingoed	bingoed+ADJ
wigga	wigga+N;SG
anticonversion	anticonversion+ADJ
okeh	okeh+V;NFIN;IMP+SBJV
repleat	repleat+V;NFIN;IMP+SBJV
subscenes	subscene+N;PL
oticooccipital	oticooccipital+ADJ
deluges	deluge+V;PRS;3;SG
ophiuran	ophiuran+ADJ
nav	nav+V;NFIN;IMP+SBJV
euchelicerates	euchelicerate+N;PL
monsterdom	monsterdom+N;SG
unplayable	unplayable+ADJ
cuatristas	cuatrista+N;PL
cybersociological	cybersociological+ADJ
aphorism	aphorism+V;NFIN;IMP+SBJV
jake	jake+N;SG
catharometer	catharometer+N;SG
four-speed	four-speed+N;SG
holophosphatases	holophosphatase+N;PL
localhost	localhost+N;SG
nominees	nominee+N;PL
antimilitancy	antimilitancy+N;SG
colvasone	colvasone+N;SG
paloverdes	paloverde+N;PL
longilateral	longilateral+ADJ
pontificality	pontificality+N;SG
anthelone	anthelone+N;SG
sauvatide	sauvatide+N;SG
guttersome	guttersome+ADJ
skepticised	skepticise+V;V.PTCP;PST
paternostering	paternoster+V;V.PTCP;PRS
remikiren	remikiren+N;SG
undemolishes	undemolish+V;PRS;3;SG
anemovane	anemovane+N;SG
pea green	pea green+ADJ
chiplike	chiplike+ADJ
civetone	civetone+N;SG
refaxed	refax+V;PST
osbipy	osbipy+N;SG
neomelodic	neomelodic+ADJ
unglazed	unglaze+V;PST
moustaches	moustache+N;PL
prodynorphin	prodynorphin+N;SG
biogeomorphic	biogeomorphic+ADJ
twitches	twitch+V;PRS;3;SG
emplumed	emplume+V;V.PTCP;PST
tibonanj	tibonanj+N;SG
arylboronate	arylboronate+N;SG
double-hand	double-hand+V;NFIN;IMP+SBJV
avc	avc+N;SG
ceque	ceque+N;SG
vigilantist	vigilantist+ADJ
overstanding	overstand+V;V.PTCP;PRS
amylogenesis	amylogenesis+N;SG
thankers	thanker+N;PL
darkled	darkle+V;V.PTCP;PST
removing	removing+N;SG
man-tiger	man-tiger+N;SG
by-product	by-product+N;SG
heteropalindrome	heteropalindrome+N;SG
parallelised	parallelise+V;V.PTCP;PST
subfusiform	subfusiform+ADJ
tanshinols	tanshinol+N;PL
fireproof	fireproof+V;NFIN;IMP+SBJV
overpoliticized	overpoliticize+V;V.PTCP;PST
succinobucol	succinobucol+N;SG
toddles	toddle+V;PRS;3;SG
oxycapnography	oxycapnography+N;SG
moufful	moufful+N;SG
serodiagnose	serodiagnose+V;NFIN;IMP+SBJV
sigillarids	sigillarid+N;PL
holarctic	holarctic+ADJ
onloan	onloan+V;NFIN;IMP+SBJV
complainant	complainant+N;SG
methylestradiol	methylestradiol+N;SG
necrophilous	necrophilous+ADJ
transact	transact+V;NFIN;IMP+SBJV
linch	linch+N;SG
lamplighters	lamplighter+N;PL
sedge-skipper	sedge-skipper+N;SG
turpid	turpid+ADJ
afterdele	afterdele+N;SG
fluidizes	fluidize+V;PRS;3;SG
whatchamahoozie	whatchamahoozie+N;SG
superband	superband+N;SG
cobangs	cobang+N;PL
undercoat	undercoat+N;SG
razzle-dazzle	razzle-dazzle+N;SG
cornified	cornify+V;PST
re-gay	re-gay+V;NFIN;IMP+SBJV
as	as+N;SG
rehashing	rehash+V;V.PTCP;PRS
splenetic	splenetic+ADJ
escharotick	escharotick+N;SG
